dataset,sample_idx,acceptance_rate,dlm_tps,tlm_tps,spd_tps,total_generated_tokens,num_iters,prefill_time_s,tlm_decode_time_s,dlm_decode_time_s
humaneval,129,5.1707,2237.5,41.22,188.17,848,164,0.5729,3.3339,1.1727
humaneval,130,5.6484,2179.4,41.85,204.33,1028,182,0.4027,3.695,1.3361
humaneval,131,7.7442,2229.35,44.01,283.68,333,43,0.1443,0.8652,0.3086
humaneval,132,5.6532,2200.22,42.11,205.95,701,124,0.2568,2.502,0.9017
humaneval,133,7.5526,2294.03,43.86,278.63,287,38,0.2726,0.765,0.265
humaneval,134,6.5,2214.97,42.94,237.18,468,72,0.265,1.4531,0.5201
humaneval,135,6.6296,2270.19,43.17,243.96,358,54,0.2458,1.0869,0.3806
humaneval,136,7.4925,2221.44,43.8,274.01,502,67,0.2656,1.3495,0.4826
humaneval,137,4.7391,2250.84,41.15,174.4,436,92,0.2628,1.8461,0.654
humaneval,138,5.4486,2176.78,42.1,198.7,583,107,0.1451,2.1476,0.7865
humaneval,139,7.35,2202.58,43.8,268.63,588,80,0.1522,1.6077,0.5811
humaneval,140,6.8,2229.32,43.4,249.43,374,55,0.2466,1.1047,0.3947
humaneval,141,4.9899,2252.51,41.39,183.25,494,99,0.2985,1.9925,0.7032
humaneval,142,6.5963,2203.18,43.08,240.58,719,109,0.282,2.197,0.7916
humaneval,143,7.6557,2259.82,44.06,281.94,467,61,0.2622,1.2245,0.4319
humaneval,144,5.8554,2195.46,42.53,213.91,486,83,0.2731,1.6671,0.6049
humaneval,145,4.9831,2242.05,41.47,183.06,588,118,0.2557,2.3699,0.8421
humaneval,146,6.8958,2224.25,43.51,252.92,331,48,0.2565,0.9634,0.3453
humaneval,147,7.6667,2080.91,44.03,275.97,966,126,0.2819,2.5316,0.9688
humaneval,148,5.2727,1979.45,42.06,187.85,464,88,0.3204,1.7587,0.7113
humaneval,149,5.1475,2044.84,42.0,185.42,314,61,0.3084,1.2162,0.4773
humaneval,150,7.2909,1984.22,44.09,260.32,401,55,0.1642,1.0969,0.4435
humaneval,151,10.425,2056.63,45.73,375.93,417,40,0.2775,0.7981,0.3112
humaneval,152,6.2045,2009.16,43.24,222.54,273,44,0.3305,0.8763,0.3504
humaneval,153,5.6212,2026.82,42.51,201.73,371,66,0.4443,1.318,0.521
humaneval,154,7.4062,1991.98,44.15,264.64,474,64,0.2699,1.2771,0.5141
humaneval,155,7.6591,2011.72,44.43,274.9,337,44,0.1439,0.8759,0.3499
humaneval,156,5.6146,1979.48,42.53,200.24,539,96,0.2582,1.9158,0.776
humaneval,157,7.5179,2046.6,44.3,271.01,421,56,0.2566,1.1157,0.4378
humaneval,158,7.46,2002.45,44.22,267.07,373,50,0.2691,0.9971,0.3995
humaneval,159,6.8764,2024.26,43.65,246.44,612,89,0.4552,1.7799,0.7035
humaneval,160,5.8101,1990.47,42.65,207.18,459,79,0.3192,1.5804,0.635
humaneval,161,6.4324,2033.28,43.38,231.21,476,74,0.2582,1.4764,0.5823
humaneval,162,4.5357,1994.63,41.13,162.31,254,56,0.1554,1.1157,0.4492
humaneval,163,6.0933,2035.36,43.1,219.24,457,75,0.2575,1.4949,0.5896
